pxpx,pxpy,pxzix,pxziy
-0.767,0,-0.016,0
-0.279,0,-0.005,0
0.209,0,0.006,0
0.697,0.001,0.017,0.001
1.184,0.004,0.028,0.002
1.672,0.011,0.039,0.003
2.16,0.022,0.05,0.006
2.648,0.038,0.061,0.011
3.136,0.056,0.072,0.016
3.624,0.075,0.083,0.022
4.112,0.092,0.094,0.029
4.6,0.107,0.105,0.037
5.087,0.115,0.116,0.046
5.575,0.119,0.127,0.056
6.063,0.121,0.138,0.067
6.551,0.12,0.149,0.078
7.039,0.114,0.16,0.091
7.527,0.106,0.171,0.104
8.015,0.099,0.182,0.119
8.502,0.092,0.193,0.134
8.99,0.084,0.204,0.151
9.478,0.075,0.215,0.169
9.966,0.067,0.226,0.189
10.454,0.06,0.237,0.212
10.942,0.053,0.248,0.237
11.43,0.048,0.259,0.264
11.917,0.044,0.27,0.293
12.405,0.039,0.281,0.321
12.893,0.035,0.291,0.346
13.381,0.031,0.302,0.368
13.869,0.027,0.313,0.387
14.357,0.023,0.324,0.404
14.845,0.019,0.335,0.423
15.332,0.016,0.346,0.445
15.82,0.014,0.357,0.472
16.308,0.013,0.368,0.504
16.796,0.012,0.379,0.539
17.284,0.011,0.39,0.575
17.772,0.01,0.401,0.611
18.26,0.009,0.412,0.646
18.747,0.008,0.423,0.678
19.235,0.007,0.434,0.71
19.723,0.006,0.445,0.744
20.211,0.005,0.456,0.784
20.699,0.004,0.467,0.829
21.187,0.003,0.478,0.877
21.675,0.003,0.489,0.925
22.163,0.003,0.5,0.973
22.65,0.003,0.511,1.02
23.138,0.003,0.522,1.066
23.626,0.003,0.533,1.112
24.114,0.002,0.544,1.158
24.602,0.002,0.555,1.207
25.09,0.001,0.566,1.262
25.578,0.001,0.577,1.325
26.065,0.001,0.588,1.389
26.553,0.001,0.599,1.447
27.041,0.001,0.61,1.493
27.529,0.001,0.621,1.527
28.017,0.001,0.632,1.557
28.505,0.001,0.643,1.592
28.993,0.001,0.654,1.635
29.48,0,0.665,1.685
29.968,0,0.676,1.736
30.456,0.001,0.687,1.789
30.944,0.001,0.698,1.844
31.432,0.001,0.709,1.904
31.92,0.001,0.72,1.972
32.408,0,0.731,2.044
32.895,0,0.742,2.115
33.383,0,0.753,2.179
33.871,0,0.764,2.23
34.359,0,0.775,2.266
34.847,0,0.786,2.289
35.335,0,0.797,2.303
35.823,0,0.808,2.312
36.31,0,0.819,2.32
36.798,0,0.83,2.326
37.286,0,0.841,2.328
37.774,0,0.852,2.32
38.262,0,0.863,2.302
38.75,0,0.874,2.27
39.238,0,0.885,2.218
39.725,0,0.896,2.137
40.213,0,0.907,2.018
40.701,0,0.918,1.855
41.189,0,0.929,1.653
41.677,0,0.94,1.416
42.165,0,0.951,1.156
42.653,0,0.962,0.89
43.141,0,0.973,0.637
43.628,0,0.984,0.42
44.116,0,0.995,0.251
44.604,0,1.006,0.135
45.092,0,1.017,0.065
45.58,0,1.028,0.027
46.068,0,1.039,0.01
46.556,0,1.049,0.003
47.043,0,1.06,0.001
47.531,0,1.071,0
